     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         886.975;           3.939;           4.230;           3.958;           0.050 ( 1.260 %);  15419.054
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          84.237;           3.105;           3.383;           3.124;           0.047 ( 1.516 %);  19538.639
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;        2593.725;           4.170;           4.468;           4.190;           0.050 ( 1.203 %);  14566.863
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         667.089;           3.288;           3.583;           3.307;           0.050 ( 1.519 %);  18458.720
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;        1885.928;           4.575;           4.907;           4.596;           0.056 ( 1.224 %);  13281.023
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          86.173;           3.607;           3.978;           3.637;           0.083 ( 2.294 %);  16783.130
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         187.521;           4.430;           4.754;           4.452;           0.055 ( 1.226 %);  13708.577
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         115.458;           3.494;           3.818;           3.515;           0.055 ( 1.574 %);  17364.947
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         101.085;           4.170;           4.471;           4.189;           0.051 ( 1.214 %);  14568.654
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          32.855;           3.289;           3.591;           3.308;           0.052 ( 1.566 %);  18453.139
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         497.264;           4.170;           4.398;           4.187;           0.038 ( 0.917 %);  14578.989
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         216.855;           3.288;           3.590;           3.308;           0.052 ( 1.562 %);  18449.928
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;        2956.502;           4.052;           4.275;           4.068;           0.038 ( 0.924 %);  15002.385
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         237.573;           3.196;           3.527;           3.222;           0.074 ( 2.295 %);  18942.717
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          46.612;           4.171;           4.488;           4.190;           0.054 ( 1.286 %);  14568.233
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          48.795;           3.289;           3.588;           3.308;           0.051 ( 1.544 %);  18448.069
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         647.939;           4.432;           4.810;           4.454;           0.065 ( 1.464 %);  13704.287
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         127.920;           3.500;           3.601;           3.512;           0.019 ( 0.530 %);  17377.531
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         499.486;           4.297;           4.549;           4.314;           0.043 ( 0.989 %);  14148.059
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         114.102;           3.388;           3.697;           3.410;           0.056 ( 1.657 %);  17899.509
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          62.560;           4.575;           4.893;           4.594;           0.054 ( 1.176 %);  13285.754
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         100.377;           3.607;           3.949;           3.633;           0.067 ( 1.852 %);  16800.208
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         130.152;           4.725;           4.988;           4.745;           0.044 ( 0.929 %);  12862.554
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          87.152;           3.726;           4.069;           3.748;           0.058 ( 1.553 %);  16285.517
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         104.090;           4.731;           5.442;           4.763;           0.122 ( 2.564 %);  12814.191
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          36.379;           3.726;           4.127;           3.759;           0.088 ( 2.336 %);  16237.204
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          81.860;           4.890;           5.205;           4.912;           0.053 ( 1.082 %);  12426.261
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         107.237;           3.856;           4.202;           3.878;           0.060 ( 1.535 %);  15737.347
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          41.503;           4.889;           5.189;           4.910;           0.051 ( 1.032 %);  12431.169
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         115.558;           3.857;          11.304;           4.105;           1.294 (31.522 %);  14869.808
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          52.774;           4.897;           5.225;           4.918;           0.056 ( 1.130 %);  12409.800
